ticker,corr_lag1,corr_lag2,corr_lag3,corr_lag4,corr_lag5,corr_next_day
AAPL,0.29395904156822283,0.1760434161757727,0.052329999032894946,0.03878670020663322,0.06347306001123143,0.08218055298499556
AMD,0.28145915713653213,0.1334275912263239,0.0705078155319873,0.012573086725694559,0.05920797210429215,-0.06519677048928978
AMZN,0.16722669991174127,0.2532778594751636,0.05865455173814956,0.0321343553181235,-0.0760901599777067,0.011072027660582363
BA,0.05730032362258026,-0.02873979102065279,-0.10354880876954164,0.14496074685512025,-0.16035922803151317,0.1788040632376625
BX,-0.05172811652530966,0.26408654342088556,-0.0861416632292565,0.28102538391965154,0.28580959051524446,-0.08395816903928066
COST,0.02881557539699767,0.12494519528340474,0.18600328979668837,-0.05741847173649971,-0.048229141123481395,-0.026988514005348227
CRM,0.15001182154060916,0.13959308770153148,0.09846322924827862,0.05585773845947509,-0.03547491381305464,0.09882106740557861
DIS,0.035405669120735776,0.10686899377319142,0.13039023331754784,0.1256747737163546,0.14820667040926574,-0.004294032420073994
ENPH,-0.09350876934676708,0.28991298669471915,0.00575880885692573,-0.09680462765557546,0.028134776708358924,0.08694019458606057
F,-0.2695811030023045,0.05308917861622861,-0.04513969995497784,-0.10027919909818238,-0.2790535030586521,-0.15679678671130756
GOOG,0.08339972551265382,0.13378273067300844,0.06442077203268119,0.03918407956620526,0.0699654831942774,-0.04617052670516529
INTC,0.15045318331009971,0.025855098534149853,-0.06956291938409584,0.05073285800777767,0.06303024997549127,0.010943034689061864
KO,-0.03030882677162387,0.030878083969665078,-0.18491238920639425,0.013738106623616133,-0.04978029855408227,-0.09334177087865662
META,0.13661762340147487,-0.00966101494713193,-0.005840881729832017,-0.06210218177889363,0.08645390736464942,0.06762408553044692
MSFT,0.08297248831052008,0.20580863627555887,-0.0011213202803507189,0.019286270166634804,0.03260399740814249,-0.0744876171890024
NFLX,0.18361237142723671,0.011812720193821354,0.09698176282527494,0.08112783364376228,0.052691105054346515,0.046602106331923826
NIO,0.1830297609214548,0.13744816733582801,0.04146365110052846,0.13571634455892082,0.05312202577636149,0.006889235751274045
NOC,0.19588484729823277,-0.03688986780620212,-0.4645572707642375,0.05034238799573456,0.08001869652293102,0.29052020886162006
PG,0.09759892940789232,0.11849740262004657,0.13948093377401424,0.06264347760337838,0.14891100404997779,0.007232465238977581
PYPL,0.05768286263520085,0.16537189089629345,0.14252882242689116,0.057873341770496356,-0.03927401766334725,0.03734326800759923
TSLA,0.46975609300139615,0.23867523392490644,0.09535290404397849,0.09843915635716714,0.12809017463216144,-0.07715751343692749
TSM,0.059657250640676944,-0.07195147584245075,0.026163014561270004,0.03551219089864896,-0.0653410737087163,0.029198393654422516
VZ,0.007120610300776249,0.19007817033366675,0.11266063969850892,-0.031018913728161727,0.09660844374615754,0.01492947540176762
XPEV,0.253753096657398,-0.052359772792646045,0.04455864676948109,0.04168873577708738,-0.2231121072871317,0.14709008991217723
